method,metric,point_estimate,ci_lower,ci_upper,n_bootstrap,bootstrap_seed,sample_size
raw,ece,0.15455735801094908,0.12631575402990688,0.18368088521538367,1000,20260503,300
raw,brier_score,0.08911182419582031,0.07486409792584324,0.10341527510729878,1000,20260503,300
raw,nll,0.2985522187276517,0.26361690073366134,0.33329425491312115,1000,20260503,300
temperature_scaling,ece,0.030001846099998838,0.023465316695489936,0.06362586009824357,1000,20260503,300
temperature_scaling,brier_score,0.05966137418343845,0.04243748330202032,0.07744203935599166,1000,20260503,300
temperature_scaling,nll,0.19727034975522315,0.14696838277197205,0.2531630530446439,1000,20260503,300
platt_scaling,ece,0.06898272362601415,0.0517045574789691,0.10215200159538139,1000,20260503,300
platt_scaling,brier_score,0.07527301061230968,0.05474216166710166,0.09811257993940868,1000,20260503,300
platt_scaling,nll,0.2389352674343969,0.17574741639995933,0.3056528445059814,1000,20260503,300
isotonic_regression,ece,0.08576586517002666,0.05648659625094232,0.11676866488728167,1000,20260503,300
isotonic_regression,brier_score,0.08357178813017446,0.058884885295108665,0.11011107244600522,1000,20260503,300
isotonic_regression,nll,0.5241063606204991,0.2966613217639365,0.7731199190139261,1000,20260503,300
